id;id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
1;behind nor;overstay until iridescence;2025-03-29;14809.23
2;cleaner including phooey;impact materialise;2025-03-29;14613.76
3;while;bitterly or;2025-03-29;2543.38
4;whereas how;friendly;2025-03-29;23854.02
5;outflank;hence;2025-03-29;32000.28
6;frantically yesterday faithfully;midst hydrocarbon;2025-03-29;6891.81
7;hospitalization ragged righteously;enthusiastically rarely;2025-03-29;5846.01
8;petal supposing noted;merry;2025-03-29;9439.22
9;as requite;upright mmm;2025-03-29;297.67
10;far omelet;jury filthy;2025-03-30;8496.62
