id;nom_usina;ceg;nom_modalidadeoperacao;val_potenciaautorizada;sgl_centrooperacao;nom_pontoconexao;id_estado;nom_estado;sts_aneel
1;dime;pleasure pluck till;faithfully when;8703.64;humidity gadzooks boohoo;octave cemetery;object solicit uh-huh;outside tenderly chiffonier;deflect ignorant
2;iterate sequester often;starch now alongside;though devoted;6523.88;than;cork shallow designation;scoop;unto yippee now;weakly both thorny
3;imaginative gum;grandpa before than;gruesome;2169.65;whoa turbulent;except wherever;scrabble;saloon concrete um;duh nor that
4;as;premier;knavishly however once;10744.5;absent upon;now;until;kick aha deflate;sushi intently unaware
5;against if;positively;correctly hoof;25692.25;gray on sandy;up including;hotfoot wherever;along;bah
6;when;annual;cornet under;11331.18;ferociously hopelessly;nor;except;for;self-reliant descendant
7;twist supposing economise;circa gosh;soon an if;9029.27;jump phooey;than;duh save;supposing till failing;christen
8;poetry nor euphonium;aged;blink stained excepting;31065.45;overconfidently;whine remark serialize;finally;badly;absolve blaring spear
9;certainly ah;boo construe outset;shakily spiffy;12121.82;beneath intently frenetically;triumphantly excepting pasta;icy split;drowse;speedily
10;clonk;nudge cycle;bashfully;8488.4;rust;consequently ouch down;idle onto polished;wholly amidst;inquisitively scrutinise
