id;nom_ree;dat_entrada;val_cotamaxima;val_cotaminima;val_volmax;val_volmin;val_volutiltot;val_produtibilidadeespecifica;val_produtividade_65_volutil;val_tipoperda;val_perda;val_latitude;val_longitude;id_reservatorio
1;rout boo;2025-03-29;32515.42;29269.66;12437.17;15907.96;7058.62;31223.72;28849.97;triangular;13245.09;15735.67;18958.74;skateboard than quaver
2;by interestingly;2025-03-29;14395.53;10206.98;17581.83;22354.49;23421.16;17108.62;5589.06;well-to-do;20207.49;15114.04;6164.85;frizz but
3;tenderly straight;2025-03-29;11541.49;20908.65;18896.35;3295.19;29222.86;28851.34;7683.01;second worst;27232.88;10310.45;6085.51;uh-huh
4;glorious granular;2025-03-29;30554.96;851.67;30628.6;17632.19;19471.3;13689.07;18602.02;phew sunny;5097.07;29340.04;15323.41;demonstrate
5;eminent insert draft;2025-03-30;29017.72;4222.52;7345.45;21350.13;5666.51;6989.64;23142.06;recede geez officially;24551.36;1191.74;7100.5;fiddle beloved
6;because duffel elderly;2025-03-29;15494.91;18257.28;5257.98;24399.62;17879.29;14745.58;7091.57;settle irritably judgementally;8817.2;18978.59;126.92;utilized strange meh
7;via supplier who;2025-03-29;23680.44;18488.43;24613.69;22692.47;29391.96;15339.22;2363.11;given instead sometimes;24226.64;19406.23;18713.48;although upbeat brace
8;gurn failing;2025-03-29;6641.65;20048.27;32766.92;20431.95;955.6;3432.04;11318.91;ew;18242.58;3990.84;13472.42;despite
9;positively ribbon;2025-03-29;8398.09;6356.56;8497.4;12002.24;9161.04;9389.8;4074.67;duh until;6735.14;16965.82;31611.23;er decode
10;that that medium;2025-03-29;14474.47;22352.93;17485.72;8014.31;14675.98;5639.63;18142.36;supposing taut;17161.43;10662.98;32060.73;electrify nor
