id;nom_fluxo;id_periodicidade;din_referencia;val_atls;num_horasviolacao
1;categorise;briskly shinny around;2025-03-29;14435.44;1060
2;mockingly cross-contamination longingly;next probate;2025-03-29;18104.15;8808
3;sardonic;untimely;2025-03-29;11127.66;15378
4;once during;except;2025-03-29;22052.59;14338
5;jiggle stranger egg;clueless quinoa;2025-03-29;19866.57;4639
6;abaft;tough manage where;2025-03-29;9634.32;8366
7;foodstuffs;when yahoo gasp;2025-03-29;13646.82;5331
8;qua;ponder when short;2025-03-29;29075.52;15
9;in;aha;2025-03-29;13223.79;11987
10;cavernous fooey ouch;achieve goodwill;2025-03-29;27659.58;18097
