id;dsc_agregacao;dsc_caracteristica;din_referencia;num_nprc_concluidas;num_nprp_programadas;num_nprat_atrasadas;num_npra_antecipadas;num_nprcp_concluidas_prazo;val_ecpa;val_pcpa
1;however;quash reach besides;2025-03-29;21643;7377;13221;16855;23665;91.81;4684.19
2;so;pepper impure;2025-03-29;27067;691;7683;9795;11072;2935.95;979.1
3;yippee or;lest;2025-03-29;14814;26301;20283;7752;2971;24757.25;4198.22
4;furthermore even apud;tremendously;2025-03-29;16129;21570;12769;8593;11059;17766.32;4575.43
5;hm sweet;as zesty cash;2025-03-29;27426;4415;31260;17671;18530;1235.12;28635.37
6;proper;so monocle beside;2025-03-29;29413;3086;10126;11036;29236;13623.35;2491.31
7;oh anxiously;versus;2025-03-29;3893;11061;24755;18702;15021;6721.14;21058.52
8;regarding lest off;boohoo er;2025-03-29;2678;16773;25473;29784;9139;9806.7;17382.71
9;rawhide;between minus celebrated;2025-03-29;9076;26597;9150;9485;7077;16149.8;2366.65
10;unfortunately geez or;emphasize lift;2025-03-29;3031;29697;4100;14683;494;32426.34;28665.21
