id;cod_tipoagregacao;id_periodicidade;nom_agregacao;din_referencia;num_transformadoresoperacao;num_transformadoresviolados;val_ccat
1;obesity because;quarterly technologist;why because;2025-03-29;9008;19930;26453.03
2;though gallery pace;remorseful frequent whose;heroine sore understanding;2025-03-29;9343;6094;30244.89
3;round;that up;nor inasmuch;2025-03-29;14663;3245;23384.13
4;exterior whoever stay;narrowcast eek against;prickly;2025-03-29;13308;25319;32119.4
5;aha wilderness symbolise;hence gah modulo;instead amidst;2025-03-29;14331;1371;9798.33
6;antagonize psst ugh;rubbery readily;border;2025-03-29;15141;24163;18892.84
7;besides;hydrolyse hairy;impostor;2025-03-29;6959;6549;86.99
8;upon;handful;boohoo impanel;2025-03-30;31626;8157;9009.13
9;gray embossing;except hence;even educated hence;2025-03-29;20479;6130;31515.63
10;trusting wolf;tabulate lock vestment;gee;2025-03-29;721;29712;3191.56
