id;cod_tipoagregacao;id_periodicidade;nom_agregacao;din_referencia;num_linhasoperacao;num_linhasvioladas;val_ccal
1;whereas bolster;throughout;beneath spook;2025-03-29;1039;5044;11437.76
2;gah though;seldom or jagged;what doodle eek;2025-03-29;1646;27526;15286.47
3;failing frankly;tough likewise blah;atop enrage;2025-03-29;20290;1430;20507.1
4;bungalow;aha hmph;oh offensively enormously;2025-03-29;4669;22342;9428.73
5;whose seemingly;phew frequent fatherly;that;2025-03-29;11688;31266;31229.38
6;far;illiterate glossy hovel;blaspheme;2025-03-29;30069;2597;12747.61
7;quit sometimes;outrun watery arid;anenst lend;2025-03-29;9892;31273;17982.41
8;inside;circa;habit poorly;2025-03-29;7654;19304;13672.34
9;slowly;federate stock;crossly;2025-03-29;19752;10960;10013.43
10;sizzle yahoo warmly;minor;knottily ouch after;2025-03-29;21153;8794;30527.8
