id;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt;ena_queda_bruta;mlt_ena
1;29448.81;4864.71;25867.36;10134.85;7125.09;22325.88
2;30116.13;6293.89;21814.97;22675;19171.68;27532.76
3;28429.41;23216.32;10899.62;9929.94;176.75;26971.36
4;1171.63;1907.66;28290.23;31287.63;32598.9;18948.94
5;30973.8;17429.62;21573.02;7121.84;10399.81;2259.35
6;18517.5;29427.93;13161.5;26084.99;31318.67;6345.92
7;14082.33;2286.2;28322.51;29311.55;16162.12;29306.8
8;7397.67;10605.48;27813.64;19108.68;29574.98;4253.11
9;17071.58;11892.1;8441;14344.32;18662.84;12886.15
10;27576.99;31486.08;27235.73;185.34;26162.94;30262.31
