id;din_referencia;din_iniciodesviofreq;din_fimdesviofreq;id_faixafrequencia;nom_faixafrequencia;val_dfd;val_freqmaxmin
1;2025-03-29;2025-03-29;2025-03-29;zowie rubbery overcooked;lovely scratchy;9505;14725.98
2;2025-03-29;2025-03-29;2025-03-29;ugh;consistency excluding bah;23582;8892.16
3;2025-03-29;2025-03-29;2025-03-30;famously what captain;obedient any;24480;18938.46
4;2025-03-29;2025-03-29;2025-03-29;custody dental innocently;teammate frankly;25619;25673.7
5;2025-03-29;2025-03-29;2025-03-29;in however;instead;20473;16027.06
6;2025-03-29;2025-03-29;2025-03-30;aha;a;5989;32401.78
7;2025-03-29;2025-03-29;2025-03-29;categorise dowse behind;um righteously;17920;7135.49
8;2025-03-29;2025-03-29;2025-03-29;gah;outrun dutiful;19411;18018.15
9;2025-03-29;2025-03-29;2025-03-30;experience;ick shakily hmph;21846;21933.33
10;2025-03-29;2025-03-29;2025-03-29;but;duffel boring;26624;23601.26
