id;din_programacaodia;num_patamar;nom_elementofluxocontrolado;dsc_elementofluxocontrolado;tip_terminal;cod_submercado;val_carga
1;2025-03-29;8167;hmph;yippee;476;outside decouple enraged;23977.87
2;2025-03-29;29498;um helpfully;floss;28332;faraway uselessly;20761.94
3;2025-03-29;11351;oof hm;forenenst simple lest;30406;yum oof husky;2785.09
4;2025-03-29;10435;minor;along petty onto;16529;yarmulke lazily really;428.58
5;2025-03-29;23046;though sandy stack;sleepily blink papa;4013;readjust;21491.89
6;2025-03-29;20697;square lest;indeed as till;9530;ha a shear;2402.93
7;2025-03-29;18187;arraign;overload if;12925;unbearably;15883.28
8;2025-03-30;10805;as descendant unlike;oh charming;8025;clinking;7175.74
9;2025-03-29;31492;gosh hm self-confidence;than boo upwardly;2284;clamp extension;20649.11
10;2025-03-29;26156;partially;low darling;24042;whoever;15706.35
