id;id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
1;even councilman;inwardly reboot;2025-03-29;7307.38;31855.23;26998.4;5792.79;18069.26;10969.21
2;dish accidentally;minty linseed;2025-03-30;13614.27;24128.37;14115.03;31397.17;6722.47;3248.94
3;accredit oof convince;circa pro meh;2025-03-29;3113.16;296.22;27137.8;14949.79;27539.66;31990.02
4;supposing;whoever solvency accept;2025-03-29;13320.35;6557.31;26941.98;23177.34;19590.83;14604.98
5;agreeable rise;overspend during;2025-03-29;12122.29;14013.69;29380.83;187.53;28539.97;1397.1
6;feather ornate;or tremendously;2025-03-29;18380.83;13032.07;11800.95;29013.41;2611.65;13219.88
7;programme brr;hm however;2025-03-29;30072.74;22496.17;15562.61;32504.35;11722.06;10350.83
8;vice;excepting yum;2025-03-30;1240.07;26072.68;15877.35;15957.42;10473.7;9282.75
9;crocodile wherever;institute wedge;2025-03-29;16147.69;28150.35;11345.58;2476.4;29190.37;25669.82
10;wetly repeatedly concerning;besides bony;2025-03-29;23580.5;23647.02;14590.37;12739.2;19996.64;29659.68
