id;val_volumeutil;val_vazaoafluente;val_vazaodefluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaotransferida;val_vazaovertidanaoturbinavel
1;16696.79;29498.16;31809.22;10777.42;26337.96;20225.03;12932.04;22951.58
2;28317.41;12050.01;22008.09;1213.31;14627.69;5405.12;14011.15;20355.55
3;23182.79;19754.13;4442.71;26701.56;1118.17;14186.54;22235.22;28304.3
4;27225.52;21875.27;21232.55;21801.2;31101.7;21591.21;27390.18;12081.97
5;24227.26;6304.88;27981.61;29888.74;10600.13;21535.81;23634.51;19630.69
6;7999.42;29065.63;7665.84;611.34;11706.76;6983.13;27568.29;3607.56
7;3600.59;30899.49;18550.75;5957.14;4304.65;6404.17;6275.98;16034.4
8;13734.42;16609.98;3056.89;2433.81;31241.73;1157.05;6877.46;6036.12
9;17852.9;25876.65;25848.18;6436.82;8596.2;5024.99;24477.04;2734.77
10;25314.33;5997.2;13752.91;15449.49;17296.58;15065.91;28427.78;11140.43
