id;dsc_agregacao;cod_caracteristica;dsc_caracteristica;id_periodicidade;din_referencia;val_sm_1;val_sm_2;val_sm_3;val_sm_4;val_sm_5
1;fast hierarchy;jazz supposing;marathon;how mosh hungrily;2025-03-29;18181.01;31792.56;31400.93;15884.71;3656.85
2;cluttered cruelty offensively;ouch ignorant;mobility indeed;ferociously tarragon meh;2025-03-29;5785.5;12803.68;11048.87;3234.78;14894.37
3;mount claw;fen;violently athwart;with refine;2025-03-29;26641.03;30949.15;8876.98;11026.53;29721.72
4;whenever tromp;aside psst privilege;minus arcade;off twist absent;2025-03-30;6977.17;4730.13;16876.31;17142.6;30402.57
5;fellow term wrongly;by cycle;row shoulder including;zen;2025-03-29;494.56;20607.62;29534.79;32500.36;8732.7
6;hot arrogantly malfunction;bookend duh;fortunate jacket;a terraform yippee;2025-03-29;901.38;19573.52;2358.42;4268.3;24987.05
7;aboard lampoon better;indeed;atop wonderfully meanwhile;sans before clinking;2025-03-29;418.2;18775.85;31804.61;25454.8;31748.9
8;impolite whoever costume;upside-down viciously aha;supposing circa;destock;2025-03-29;22428.57;679.72;25515.7;4032.75;18706.79
9;overcook massage;sociable;king huzzah duffel;statue;2025-03-29;29172.62;16539.08;18132.38;13900.82;8387.91
10;inasmuch meanwhile;aha poppy;tenant times;nor cutlet;2025-03-30;10721.26;23435.83;23928.66;26312.43;8868.34
