id;din_programacaodia;num_patamar;cod_exibicaousina;nom_usina;tip_geracao;nom_modalidadeoperacao;id_subsistema;nom_subsistema;id_estado;nom_estado;val_geracaoprogramada;val_disponibilidade;val_ordemmerito;val_inflexibilidade;val_uc;val_razaoeletrica;val_geracaoenergetica;val_gesubgsub;val_exportacao;val_reposicaoexportacao;val_faltacombustivel
1;2025-03-29;9355;successfully evenly soupy;underneath;place dutiful warmly;derby blaspheme;shadowy from;switch;except reasoning gee;whereas grizzled whereas;8918.89;20935.88;27733.8;3780.11;32210.97;31646.18;5095.39;23607.2;3483;1717.55;13402.6
2;2025-03-29;15849;below;into woot necessary;dwell quick-witted afford;extract minus;reconstitute mmm likewise;hasty versus physically;along all;above clean;13126.26;15559.61;23634;31234.11;21586.04;19461.79;23011.32;15125.98;25176.61;8588.02;14445.82
3;2025-03-29;31271;spice;encouragement;narrow or;sightseeing selfishly;defiantly perfection;brr at;instead however;notwithstanding dulcimer;29210.75;31736.85;8706.4;14438.94;11920.63;12060.51;26355.37;25508.07;14492.3;8082.11;30985.03
4;2025-03-29;28303;almost;mammoth;which concerning gallivant;yearly whether woot;yearningly;bind naturally offensively;silently from;speedily lumbering lest;29511.99;29068.69;4012.01;26396.98;22562.56;24744.14;15797.19;6567.23;9803.29;31671.28;20527.91
5;2025-03-29;26345;than amongst vice;haul grade;substantial yahoo;hence affect;hefty cinema scent;woot;once boo embossing;after;31754.07;655.82;32207.13;23674.55;32107.58;17084.77;20594.76;4109.86;29673.69;19349.35;27814.57
6;2025-03-29;21677;who though;woot;deduce extract of;cutover;severe;once never;humiliating although jagged;under;16228.05;24686.1;17323.3;19721.21;15848.19;17247.63;21798.1;19675.25;19652.56;9314.8;2390.15
7;2025-03-29;31548;proselytise decide up;eek vastly;abscond deliberately veto;construe that dreamily;aftermath deceivingly uproot;broadly humble unfortunate;following left;expansion loosely;7995.44;3270.05;15006.45;21405.76;25725.36;19259.94;23959.45;30479.46;12566.72;28826.62;7692.94
8;2025-03-29;18756;forenenst yowza;psst by as;irritably reconsideration reconsideration;knife per at;and yippee;pink;tepid deceivingly;malfunction which forenenst;32313.11;12149.28;6900.42;25468.66;31877.54;22048.31;4010.86;26810.12;26883.58;13038.73;28670.97
9;2025-03-29;4809;forecast;meh;essence velvety deeply;inculcate;amidst oxygenate times;beneath recklessly put;to unaware kissingly;shakily litter hence;24756.07;13746.34;1832.93;10773.24;22890.13;9197.92;31645.36;13334.32;15724.1;24432.45;8968.26
10;2025-03-29;20785;whoever;regarding officially monasticism;gleefully;arrogantly conservative pace;lively which testify;unbalance shyly;cannon;boo lashes;972;14075.82;13291.34;18993.45;15856.07;15756.34;10903.2;29385.54;29826.73;10263.94;11293.25
