id;dat_iniciosemana;dat_fimsemana;ano_referencia;mes_referencia;num_revisao;nom_semanaoperativa;cod_modelos;id_subsistema;nom_subsistema;nom_usina;val_cvu
1;2025-03-29;2025-03-29;20328;20778;16493;meanwhile stabilise;25877;pants opposite fiddle;miscalculate waltz uh-huh;utterly commonly broken;23500.65
2;2025-03-29;2025-03-29;23132;22527;14762;helplessly intrepid etch;16801;weekly proliferate;pressure;who;25394.7
3;2025-03-29;2025-03-29;30990;16489;633;never coast next;10464;when delete which;ferociously fictionalize;republican um pillory;15492.35
4;2025-03-29;2025-03-29;29387;13831;3667;facilitate short-term;1599;painfully ignorant against;napkin;hexagon;16600.52
5;2025-03-29;2025-03-29;10267;28202;27675;oh;23219;intelligent;sharply;whereas buzzing;10840.2
6;2025-03-29;2025-03-29;6946;30048;3968;cafe among misappropriate;17950;showy rapidly reward;wearily negotiation straight;really afore;3307.23
7;2025-03-29;2025-03-29;29134;4019;19505;ack darn forecast;16335;helpfully similar;like unimportant who;corny;6995.68
8;2025-03-29;2025-03-29;17510;30242;4411;lest pfft;9222;absent birdbath why;fooey longingly crumble;gracefully in amid;20648.68
9;2025-03-29;2025-03-29;24764;28518;6443;typeface pace amid;16519;yowza until;qua upon;until refine;15639.57
10;2025-03-29;2025-03-29;15435;20772;28935;amid whereas;30257;tackle opposite;well-worn yahoo;malfunction fussy ack;27330.45
