id;id_subsistema;nom_subsistema;id_estado;nom_estado;nom_tipotransformador;nom_agenteproprietario;nom_subestacao;nom_transformador;cod_equipamento;dat_entradaoperacao;dat_desativacao;val_tensaoprimario_kv;val_tensaosecundario_kv;val_tensaoterciario_kv;val_potencianominal_mva;nom_tipoderede;num_barra_primario;num_barra_secundario
1;vague affectionate next;fail hoick certainly;gosh thunderbolt repurpose;annually common unfortunately;anxiously at;cheap;yowza sunny frivolous;dependency;how foolish;2025-03-29;2025-03-29;6917.94;23540.11;21041.26;13816.41;oh gah yet;23452;8677
2;boo expert;floss;fort;off relieve version;catch heavily;aw duh pish;gigantic ecliptic;riser whenever miserly;ouch;2025-03-29;2025-03-29;31043.64;26566.18;24413.62;15482.94;baa physical;24494;17812
3;sans sunder;account;modulo;knottily quaff meh;till gadzooks gadzooks;cheese blah;ignorant svelte likely;blank per know;till;2025-03-29;2025-03-29;11031.89;6141.84;29988.1;2698.53;into presume whoa;18823;24671
4;purse;closed mmm;ownership;mad bracelet grubby;expert afore meh;heavy;atrium why;pro typeface mid;excluding robust;2025-03-29;2025-03-30;2816.86;6956.34;27333.63;13049.33;inasmuch physically;9124;5256
5;across defiantly once;psst;lava unexpectedly;swelter helpless unexpectedly;worth well-groomed inferior;nor sensitize voluntarily;for willow;sympathetically;excitedly sad;2025-03-29;2025-03-29;26720.32;5554.8;22271.94;976.05;a;16368;30519
6;order upward zowie;excepting;censor;under;apparatus;yahoo;wedge far-off even;limited enchanting amidst;boom that;2025-03-29;2025-03-29;20875.68;14204.84;17873.19;23181.96;beyond;4375;10845
7;straw orchid;issue quietly so;reporter how potentially;quaintly compete eek;while deliquesce wherever;certification suspension;supposing;replacement underneath since;even once silt;2025-03-29;2025-03-29;17455.33;4995.26;1283.37;8610.94;reconstitute along;13924;12565
8;duh;home until following;ceramics;tough;whereas;parched schematise colligate;next since;tall;why badly;2025-03-29;2025-03-29;23788.07;6024.11;7075.67;22211.73;whereas;24027;4464
9;bus splosh kookily;gadzooks squeaky absent;boo electric catalog;qua acclaimed;reporter hopelessly;suffocate;list;brr;ick;2025-03-29;2025-03-29;18052.31;29143.89;14230.32;8004.47;scarcely miskey bewail;28954;9058
10;up making;aw;accountability phew unfreeze;fireplace shameful;suddenly inexperienced;readjust;schnitzel brand aha;behind since;metabolite anenst;2025-03-29;2025-03-29;9998.55;31444.69;23827.97;2221.88;while excited describe;19446;29529
