id;id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
1;powerfully interchange;including;2025-03-29;2397.26;18433.73;14547.63;29244.69
2;impact tenderly complication;prance gadzooks;2025-03-29;9074.1;2702.76;5610.4;26817.63
3;fooey;worthless gah calmly;2025-03-29;10184.99;23566.72;24276.86;32766.61
4;wombat meh;imaginative truly famously;2025-03-29;15217.82;18496.99;24977.72;5772.79
5;store while vague;punctually fantastic;2025-03-29;7755.35;7144;2904.77;13611.2
6;favorable;list brr;2025-03-29;9658.91;18698.98;7260.91;31521.36
7;likely flashy but;gosh close;2025-03-29;22505.48;1764.58;30356.65;20067.56
8;ha;tribe;2025-03-29;12155.62;13485.91;25767.33;5246.09
9;forecast questionably;ick best out;2025-03-29;1208.31;26833.62;6954.6;28925.61
10;wonderfully neat accompanist;lay;2025-03-29;26196.78;15372.01;22054.32;24259.48
