id;id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
1;consequently gently if;bench bran fill;2025-03-29;6229.73;20165.52;15285.18
2;now;where;2025-03-29;31926.19;28901.38;23316.36
3;for certify;when video mobility;2025-03-29;30025.08;30309.97;6224.67
4;masculinize than nervously;cloudy adventurously;2025-03-29;29289.33;31625.56;23630.45
5;out times within;anti;2025-03-29;30932.03;15250.77;10553.83
6;rapidly exalt;ligate lace once;2025-03-29;3124.73;21781.61;5918.95
7;since;mockingly ah;2025-03-29;18216.74;7220.65;14662.45
8;whenever ah;cheese;2025-03-29;15430.42;18982.8;17487.53
9;emphasize;guidance scale barring;2025-03-29;18751.94;26911.13;26628.02
10;anti;untrue yet;2025-03-29;18786;31168.97;5343.16
