id;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo
1;2639.18;21124.45;444.7;20670.01;32067.42;30949.14;5045.52;21056.54;32135.95;28970.67;8649.1;26714.09;15912.26;12811.3
2;20360.15;6224.36;20404.19;29914.63;31202.91;6158.52;16010.38;6818.86;23721.88;9353.45;31086.36;6249.32;9958.56;21912.48
3;2531.15;31321.52;12457.64;25761.51;12625.75;22561.96;15407.9;5046.58;13247.65;14753.63;8929.69;2904.54;22850.65;18214.06
4;24392.85;12240.09;22743.71;9642.36;3043.2;1520.71;28369.72;2225.58;32605.93;16008.22;14410.59;5175.78;26368.64;22714.67
5;13789.95;24219.01;10974.81;16166.54;25904.6;24622.82;11744.49;16486.65;3891.58;32320.24;25692.1;4800.51;16564.84;16109.59
6;17112.31;4154.01;5001.27;6258.87;3685.15;29046.46;6909.11;8965.62;14916.44;31610.05;27168.32;20969.63;11347.43;26507.44
7;15041.04;11995.01;25888.39;19155.69;23478.6;1948.04;27028;6080.21;17724.13;1313.89;2081.17;26706.36;23230.74;19867.61
8;6980.5;7963.61;31584.05;27696.19;24415.68;13522.01;16873.3;17307.6;13086.25;12287.3;25914.98;4880.26;5192.89;27073.31
9;23938.23;27838.55;19446.14;10494;23347.5;19375.79;696.35;22457.68;32674.83;12443.17;23709.51;17396.03;17904.94;30485.01
10;3433.15;20066.66;26663.73;8246.67;6909.65;13014.4;14634.5;3441.23;11423.26;13667.47;21742.78;6893.62;10268.99;4368.51
