id;dsc_agregacao;cod_caracteristica;dsc_caracteristica;id_periodicidade;din_referencia;val_dreq;val_freq
1;cow clamp mechanically;ski transparency;times big iterate;although brightly pertain;2025-03-29;876;4749.51
2;famously;upon;meh partridge folklore;smoke oof utter;2025-03-29;16908.62;27046.22
3;juggernaut until tinderbox;loudly along;taut pale on;optimistic;2025-03-29;28964.48;18389.15
4;loaf mixture;fooey;within um;torn volleyball;2025-03-29;24588.76;30674.21
5;supposing scratch;officially boohoo;duh tough against;mean fine verve;2025-03-29;18550.56;27063.42
6;boo though favorable;as;blah slowly under;famously of;2025-03-29;26380.81;28563.48
7;robust obstruct;woot calmly enthusiastically;resort freely onto;cake toward;2025-03-30;2022.98;9481.23
8;yearly abscond whoa;fixed phooey cease;after sans;yet;2025-03-29;25758.55;6863.09
9;apropos hot begonia;mutate greedy;than;till incidentally;2025-03-29;20426.02;15580
10;swerve;chase defiantly;before;what very sore;2025-03-29;32563.35;32643.56
