id;id_subsistema;nom_subsistema;din_instante;val_demanda;val_geracaohidraulicamwmed;val_geracaopchmwmed;val_geracaotermicamwed;val_geracaopctmwmed;val_geracaoeolicamwmed;val_geracaofotovoltaicamwmed
1;yet;ragged;2025-03-29;16721.63;31213.89;354.97;20104.69;10708.16;14520.59;15273.29
2;starch;masculinize;2025-03-29;1152.13;18044.88;7981.82;29325.11;4950.32;10551.37;16328.65
3;atop despite angrily;assist toward aside;2025-03-29;18871.11;9871.96;28728.72;20414.36;5572.41;2984.79;2522.38
4;whoever;sup;2025-03-29;17910.08;15563.56;3539.17;20677.93;12399.45;29561.21;2581.08
5;important gadzooks deceivingly;mountain birth wear;2025-03-29;3903.25;30788.16;21893.68;3284.96;18617.95;26043.86;27543.92
6;impact given;because versus boohoo;2025-03-29;29477.78;23486.5;23188.52;71.25;9980.97;22630.14;2893.04
7;jumbo a monstrous;chunter;2025-03-29;31592.1;5105.02;21791.6;18074.16;21152.6;8323.67;16145.21
8;and microblog;ha lightly;2025-03-30;27680.88;23884.21;17782.72;26064.55;14800.22;27208.12;5169.72
9;courageously;inculcate sure-footed formal;2025-03-29;16986.68;5636.3;7934.78;30309;17309.09;21225.95;6247.37
10;boulevard;draw um often;2025-03-30;19499.12;9030.94;32495.45;9920.07;32740.29;1282.42;12756.97
