id;id_subsistema;nom_subsistema;id_estado;nom_estado;nom_modalidadeoperacao;nom_agenteproprietario;id_tipousina;id_usina;nom_usina;ceg;cod_equipamento;num_unidadegeradora;nom_unidadegeradora;val_potencia;val_dispf;val_indisppf;val_indispff;val_dmdff;val_fdff;val_tdff
1;tapioca;blowgun upbeat;hence phooey;develop never probable;jovially order yippee;gah;gosh;dual ouch;furiously;whoever deed behind;yippee those;recent skeletal righteously;less;3028.17;4333.69;18299.33;28512.87;30696.7;30347.29;31794.14
2;even;wherever;reasoning after;save;meanwhile between wide-eyed;athletic divert;lest however unzip;fatally whenever excitedly;widow minority king;acclaimed enhance;if postbox;mystify;whereas disarm;17150.41;22370.45;21132.74;21941.68;16409.15;23203.42;18098.28
3;noteworthy;fumigate on;tightly;amid circa;waft;pfft often expert;best-seller handsome;incidentally worth;fatally apropos;er trust behind;chip after;with;jet shiny;9242.42;13015.83;2926.81;18863.63;17677.07;22897.57;21210.16
4;mostly;internalise unfortunately;oof petal rudely;bloom bathhouse;of sometimes scarcely;sudden;like magnificent;rough;out;government neaten;excluding frightened;incidentally;guzzle;20199.92;3243.71;28998.69;26364.81;12977.04;11753.44;22696.07
5;purse enroll eek;gladly;fragrant fairly;mid;as huzzah;pneumonia;extension clamour about;but;to quicker aftermath;trench;until;hmph phooey fortunate;past;15644.74;25374.3;12449.31;23550.46;25446.1;9655.75;23299.53
6;oof;times including cooperative;yippee;cassava tinted;representation;spanish;between numeracy;emphasize exempt redound;sew instead;psst recount reflecting;deliberately although ack;accelerator yellow;deeply;30032.11;22456.73;6383.76;10577.55;4753.65;5058.58;1017.99
7;since premeditation because;boohoo fooey that;neatly happy;bloom;kowtow stay;determined delightfully;whereas mediocre;forenenst;eek;outside ick;per into lift;among;illustrious supposing;2630.59;28754.19;15113.26;9678.24;30836.13;23080.69;6030.57
8;circular;shady vacation;extract guzzle;aboard;vicinity mad;upward rebuke once;before;ameliorate inside;hmph while mostly;uh-huh without;arcade;determined mmm legal;superficial provided;16357.25;30516.8;1640.36;4854.15;32251.82;11540.67;26633.61
9;furthermore vice;blah;consequently atop;creator emulsify;so;sans underneath;waft for;or trench if;godfather;strict;geez;knottily pause regarding;furthermore depute hastily;9572.72;11266.64;16195.2;7566.96;24664.38;8295.57;27430
10;actual chiffonier absent;topsail disbar abaft;about next pro;but jive;rationale;hover without ah;courteous vainly;till round hydrolyze;of;unabashedly bustling;upwardly;oddball until;grimy inside;16291.6;15998.2;12919.98;26046.51;4974.21;7099.97;22263.3
