id;id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
1;handful far-off;past glaring drat;2025-03-29;8496.22
2;alongside thread;yippee tenant;2025-03-29;16334.35
3;tromp phooey;barring concerning;2025-03-29;6927.33
4;ack belabor apropos;save only during;2025-03-29;12254
5;admired behind;suburban;2025-03-29;8131.2
6;spotless;peter likewise brochure;2025-03-29;31575.08
7;heroine;along providence;2025-03-29;26158.76
8;elegantly;about tomorrow;2025-03-29;17209.48
9;gracefully revere insert;behind yesterday horde;2025-03-29;7454.97
10;yuck triumphantly moist;aside censor joshingly;2025-03-29;17704.43
