id;nom_pais;nom_agente;nom_bloco;cod_bloco;din_instante;val_importacaoprogramada;val_importacaodespachada;val_importacaoverificada;val_preco
1;infamous democratize;yahoo machine fess;earth negotiation;aha;2025-03-29;28445.98;23970.01;2679.62;14234.03
2;abaft boom zowie;aw indeed happily;declaration cycle;thread furthermore;2025-03-29;17644.57;13458.71;10236.11;22980.62
3;toward;rarely sashay preclude;nicely ravioli among;whose edge;2025-03-29;5541.72;19623.64;25983.26;2030
4;utterly portray;how truthfully offset;meh list;if meh until;2025-03-29;17966.2;21739.65;1628.47;14487.53
5;properly absent;whenever hearten;reword certainly rapidly;educated ugh among;2025-03-29;6855.4;24529.67;29640.7;10287.04
6;bah;veto;boohoo;now phew function;2025-03-30;25524.43;9527.11;19836.07;16869.66
7;yahoo telescope;step yet;testimonial yowza;earnest quirkily whose;2025-03-29;31279.72;26317.53;26889.12;29696.34
8;soft since;while egg avaricious;soon plus scratchy;shoulder goodwill frankly;2025-03-29;11005.92;5259.53;5741.39;31278.85
9;saloon ride;especially provided;supposing honestly rarely;finger weakly ugh;2025-03-29;13722.46;6439.92;3884.52;14984.04
10;precedent jaggedly justly;about council;athwart;brr whoa unnecessarily;2025-03-29;24669.41;32582.17;6512.72;31340.12
