id;dsc_agregacao;cod_caracteristica;dsc_caracteristica;id_periodicidade;din_referencia;val_ciper_1;val_ciper_2;val_ciper_3;val_ciper_4;val_ciper_5
1;apropos yearly;inside;thoroughly idealistic acidly;terrible obnoxiously atomize;2025-03-29;6185.59;30343.6;29384.19;31158.76;31654.04
2;boo along slap;than pertinent peppery;uh-huh decision through;graft blight;2025-03-29;14917.9;29462.06;23737.21;2013.44;24851.79
3;spiffy;stage insert debit;unlike flat;psst;2025-03-29;28820.18;29043.98;24292.72;5730.84;3320.19
4;rewrite general boohoo;onto;cantaloupe urgently;cheap below;2025-03-29;15117.04;18638.2;20747.57;13009.44;13961.76
5;nor;red;postbox;across sarcastic;2025-03-29;4564.64;23020.61;2000.48;27777.21;16445.11
6;forgo of achieve;too boo hmph;broadly coexist;promise;2025-03-30;7433.76;11044.68;3484.33;7522.43;20776.95
7;as;pomelo;separately defiantly nimble;except;2025-03-29;15877.71;26909.85;17363.12;11695.04;21265.85
8;plan hence;for;whoever;quarrelsomely bah structure;2025-03-29;359.95;31255.08;14418.15;24253.6;13176.58
9;than psst nearly;warming as provided;fortunately;because;2025-03-29;20478.36;6591.37;483.66;10488.67;9864.38
10;zowie magnificent;out geez strictly;incidentally dismal;hopeful filthy although;2025-03-29;6925.36;19995.08;29714.43;13743.48;27249.54
