id;nom_conversora;din_instante;val_modalidadecontratual;val_modalidadeemergencial;val_modalidadeoportunidade;val_modalidadeteste;val_modalidadeexcepcional
1;kosher slide;2025-03-29;30536.47;8884.61;22915.46;5934.85;30974.78
2;excepting;2025-03-29;19508.42;20562.43;9379.21;19838.68;21119.39
3;lawful lightly mmm;2025-03-30;9436.73;31082.25;22951.19;4951.45;18077.85
4;option psst;2025-03-29;2677.65;5116.39;26284.02;1731.76;2824.78
5;boohoo positively ack;2025-03-29;14036.38;23268.82;2381.1;5520.95;18681.28
6;backbone belabor;2025-03-29;3376.38;25212.06;6775.96;13435.85;5296.03
7;woot oh powerful;2025-03-29;3305.64;29079.77;12132.16;2776.71;4406.08
8;provision simple eke;2025-03-29;12965.28;26230.7;4512.52;16356.07;23497.72
9;pfft hm;2025-03-29;2270.34;4323.76;10137.93;29966.14;9217.93
10;plus rotten;2025-03-29;5633.12;29297.46;29121.8;30302.31;19112.71
