id;id_subsistema;nom_subsistema;din_instante;val_cmo
1;design;for fervently intensely;2025-03-29;4084.23
2;along till;vastly if indeed;2025-03-29;3143.21
3;as;athwart likewise;2025-03-29;1887.95
4;peninsula feather;rapidly versus pliers;2025-03-29;7212.43
5;indeed;valiantly meanwhile;2025-03-29;29403.57
6;negligible before aw;once chap electronics;2025-03-29;13914.3
7;bashfully before;briskly because;2025-03-29;18832.9
8;ill merrily;executor stable;2025-03-29;17396.11
9;reassuringly hairy;kookily puff gosh;2025-03-30;31167.22
10;er questionably since;grim;2025-03-29;26310.55
