id;cod_areacarga;dat_referencia;din_referenciautc;val_cargaglobal;val_cargaglobalsmmg;val_cargammgd;val_cargaglobalcons;val_consistencia;val_cargasupervisionada;val_carganaosupervisionada
1;surprise;2025-03-29;2025-03-29;21896.99;11265.99;1069.06;4934.53;18360.47;13760.83;29670.61
2;meh abaft consistency;2025-03-29;2025-03-29;21880.08;16838.22;13475.08;11084.45;17793.07;20880.91;16242.66
3;damaged incidentally babushka;2025-03-30;2025-03-29;27918.02;10578.62;23243.44;18057.47;28949.31;25527.82;21746.33
4;bookcase though same;2025-03-29;2025-03-29;29211.31;32164.57;22011.87;28694.17;32350.27;27666.58;15030.36
5;ah lasting warmly;2025-03-29;2025-03-30;26918.5;30331.07;31479.4;592.31;20633.07;11890.18;15505.36
6;heroine disclosure ceramics;2025-03-29;2025-03-29;30281.25;25846.91;30117.81;21316.33;1856.59;17618.83;18349.18
7;orchid ick crank;2025-03-29;2025-03-29;31198.32;16576.02;28174.55;13983.62;21913.98;10598.29;3296.54
8;yearly and underneath;2025-03-29;2025-03-29;25198.86;24924.94;17181.05;17116.76;16147.83;18700.05;7650.75
9;loaf traditionalism;2025-03-29;2025-03-29;7211.54;13451.59;28687.64;24227.11;14222.97;3274.92;28564.2
10;conceal gladly lumpy;2025-03-29;2025-03-30;12034.36;24474.57;23030.72;14066.3;29094.02;12083.04;29699.36
