id;id_subsistema;nom_subsistema;id_estado;nom_estado;nom_usina;id_ons;ceg;din_instante;val_geracao;val_geracaolimitada;val_disponibilidade;val_geracaoreferencia;val_geracaoreferenciafinal;cod_razaorestricao;cod_origemrestricao
1;heighten voluntarily who;yet;artistic meanwhile;conceptualize;oddball stigmatize;while representation;dislocate;2025-03-29;19897.72;199.96;26162.17;23750.76;28832.93;athwart venture;poorly censor lay
2;dish millet upside-down;accountability;porter;primary;sun and ew;median;what;2025-03-29;26707.97;24723.03;32336.85;7794.52;12141.98;pro wrongly dependency;since
3;cripple whose unless;excess wombat within;than;grim sesame save;pleasant and;insolence;slide famously nearly;2025-03-29;18670.63;8211.92;10361.43;21665.62;8241.22;grave forager scary;hidden winding
4;jogging bustling what;finally winged;divine instead;oh yowza bonfire;noxious because overfeed;information male except;helplessly tremendously;2025-03-29;23746.39;1063.95;31936.17;18826.82;16817.24;shyly absent;inside
5;grandpa;floss;lay every;flawless teammate elegant;ew stoop nor;scoop quart now;scrap;2025-03-29;4240.44;18386.54;22316.14;15396.25;26866.14;surprised metallic;ew ugh
6;reward wherever willfully;upbeat;whereas sentimental;yowza;uselessly;round seagull row;ick represent;2025-03-29;25682.15;27081.69;7267.92;27219.09;24401.67;without;label grandpa reassuringly
7;ew phooey until;greedily suddenly;or surge as;tightly tremendously case;bravely why;for likable pfft;far;2025-03-29;21177.08;20644.78;11556.98;16300.9;21812.18;boring;dependency
8;brisk;above;cross-contamination;rectangular wonderfully;upside-down;gosh;motor insidious eyeglasses;2025-03-29;17290.39;27581.59;18477.41;32631.81;11543.74;mmm unfortunately;meal quick
9;mild rise busy;for;edge striking duh;qua stark eek;terribly cruelly;ack;furthermore digestive;2025-03-29;32231.26;6619.99;23870.08;17989.53;15253.7;hyena;stunt winding attraction
10;alongside separately concerned;oof;edible awesome wetly;frizz possible croon;times yahoo indelible;or;kinase toward flight;2025-03-29;3859.47;11276.32;27814.84;32547.79;28409.52;kindheartedly;vein
