id;dat_programacao;num_patamar;cod_usinapdp;nom_usinapdp;val_previsao;val_programado
1;2025-03-29;2900;pish account snarling;wherever procrastinate like;18452.93;10435.17
2;2025-03-29;26232;bah by pfft;emergent;32635.12;31175.79
3;2025-03-29;10898;yippee;tomorrow e-mail gray;17209.98;27688.41
4;2025-03-29;17261;see oof rout;intensely tut swine;2358.69;23166.42
5;2025-03-29;27150;worthy;depart badly individual;25202.49;17159.35
6;2025-03-29;24867;diligently rally microchip;expatiate;508.87;19913.31
7;2025-03-29;768;triumphantly mousse;even shadowbox;6299.53;13205.52
8;2025-03-29;5028;cosset;tapioca;3160.58;18156.3
9;2025-03-29;2689;next SUV across;fort whose anenst;4980.81;610.56
10;2025-03-29;24962;tensely worse;ouch geez;6419.63;23757.01
