id;id_periodicidade;din_referencia;id_faixafrequencia;nom_faixafrequencia;val_dfd
1;advancement fooey cycle;2025-03-29;flimsy;shear;23748.69
2;cemetery mom;2025-03-29;seemingly ouch;sticky;14212.4
3;so absentmindedly;2025-03-29;sans bowed describe;wherever litter;29659.19
4;carelessly;2025-03-29;mid;waist;24635.99
5;boastfully;2025-03-30;stealthily;gah vacantly tennis;14332.57
6;so;2025-03-29;inferior odd;whoever;5907.67
7;likely yuck state;2025-03-29;regularly;blindly why;17809.6
8;diversity pantyhose zowie;2025-03-29;swordfish;finally;26196.93
9;refine yearly;2025-03-29;ah;psst spew;12900.14
10;for pish brr;2025-03-29;beyond;boohoo;2472.71
