id;nom_usina;cod_ceg;id_tipousina;din_mes;nom_taxa;val_taxa;num_versao;din_instante
1;accompany conservative hoarse;selfishly;treasure that amongst;2025-03-29;yahoo oof a;13436.59;20549.49;2025-03-29
2;collaboration heavily;trial incidentally portly;yahoo;2025-03-29;outrageous;18859.2;7156.36;2025-03-29
3;hence underneath inasmuch;during strictly;brr gee above;2025-03-29;amongst giant who;28680.36;1980.86;2025-03-29
4;per matter connect;lined among;though extroverted;2025-03-29;as smoke factorise;2753.12;23036.29;2025-03-29
5;jacket likewise;fray;traditionalism;2025-03-29;programme sans;11207.89;28448.07;2025-03-29
6;close self-confidence;vanish emotional jot;amongst utilization;2025-03-29;amount considering gadzooks;5318.46;2866.24;2025-03-29
7;although until;redraw that;yowza bitter;2025-03-29;testimonial;10411.81;29591.28;2025-03-29
8;phew upwardly;zen;outside poppy huzzah;2025-03-29;unbearably oof gadzooks;23089.91;16343.29;2025-03-29
9;glimmer distinction;phew clear-cut promptly;zowie trustworthy;2025-03-29;rival nor;29634.57;3827.14;2025-03-29
10;CD playfully;fooey;bashfully;2025-03-29;reassemble manipulate obsess;12514.33;20075.58;2025-03-29
