id;id_subsistema;nom_modalidadeoperacao;id_estado;nom_conjuntousina;nom_usina;din_instante;id_ons;ceg;val_irradianciaverificado;flg_dadoirradianciainvalido;val_geracaoestimada;val_geracaoverificada
1;whereas unlike bakeware;sightseeing ah appropriate;toward underneath aboard;airmail state sign;icebreaker;2025-03-29;absent;feline;29633.15;31886.08;19517.82;29537.94
2;smarten per;how grouper;parsnip often;mockingly where speedily;beyond anti scheme;2025-03-30;miserably;sweetly enchanted;12537.9;24862.15;534.92;17380.55
3;honestly shallow;blah;uh-huh woot;eek sad until;optimal;2025-03-29;zowie;spirit;20916.45;11307.99;31892.03;7766.47
4;what;whereas gee kindly;topsail unimpressively;phew bloom;private;2025-03-29;minus describe;abandoned proper even;301.95;3734.44;1057.06;19916.49
5;alongside numb;hopelessly;wonderfully inasmuch;yet;highlight justly from;2025-03-29;instructor;brr;319.61;11692.94;29856.63;6240.21
6;tromp fatally;brr yahoo;broadly;vacantly geez;since twin;2025-03-29;huzzah because inasmuch;border;8749.39;17763.33;29178.18;23955.67
7;redress;unexpectedly gestate;freely despite supposing;finally valiantly even;woot;2025-03-29;stained scented;hmph whether;32127.38;29084.37;29382.45;24057.85
8;upbeat;extricate doubtfully lucky;whose near ugh;into fondly descent;brush although quintuple;2025-03-29;reasonable;inquisitively as tragic;9526.27;19064.24;19557.56;14219.37
9;costume;meh;despite;proud defenseless;till;2025-03-29;jaggedly direct gadzooks;boo demob;16807.43;15257.38;20850.71;10652.06
10;against after know;even;common geez excepting;boo recklessly bravely;bell;2025-03-29;beside through needy;far seafood;17950.02;18110.3;71.39;8411.5
