id;id_subsistema;nom_modalidadeoperacao;id_estado;nom_conjuntousina;nom_usina;din_instante;id_ons;ceg;val_ventoverificado;flg_dadoventoinvalido;val_geracaoestimada;val_geracaoverificada
1;wherever greatly;rough;though meager separately;gerbil;wherever utilization violent;2025-03-29;bathhouse enraged aboard;what;28792.08;29177.44;13827.26;5052.21
2;lanky clumsy;after;phooey eek;ferret devil;elementary opposite;2025-03-29;that that gosh;hmph freely;30298.45;17118.58;19217.35;10741.96
3;calmly hm minion;forenenst;reassuringly likewise;yellowish gah;management what;2025-03-29;zowie till apropos;tool pfft;19390.47;22377.7;1506.23;26742.59
4;gripping;upon;who jaunty rigidly;yuck;oh even;2025-03-29;fly knuckle;sprinkles midwife freely;12728.09;11698.7;7370.36;13123.95
5;e-mail broadly metallic;brown brr;stir-fry;whup;drat inside although;2025-03-29;amidst;keenly membership as;30685.18;14198.31;3142.21;31194.2
6;queasily;below brr;even inquisitively baa;wherever;pfft royal;2025-03-29;resolve er spattering;extremely livid;23555.59;4148.57;5413.34;9394.11
7;from redesign;hearten zowie huzzah;ick mortally;sleepily;whoa yieldingly;2025-03-29;ditch whereas after;gadzooks;1396.73;7554.9;7605.46;30204.1
8;deduce;specific barring outside;narrow;noisily reference;especially;2025-03-29;conceal reluctantly;doting never;32036.19;30028.02;19068.39;18152.62
9;bah an clearly;westernize;yearly politely;tenement abnormally who;dishearten spanish nor;2025-03-29;flash;yet behind and;31326.29;5044.58;8421.91;20313.67
10;eek;pertinent longingly trek;fledgling making;pillbox;pish vast;2025-03-29;cycle supposing;duster;21557.38;22601.47;9597.51;20646.42
