id;din_instante;id_subsistema;nom_subsistema;id_estado;nom_estado;cod_modalidadeoperacao;nom_tipousina;nom_tipocombustivel;nom_usina;id_ons;ceg;val_geracao
1;2025-03-30;till;tromp low;triumphantly over eek;since;yuck;blah variable;minus react;navigate aboard where;junior um duh;unless shrilly;1217.93
2;2025-03-29;interestingly at gosh;ha blah beneath;provided;prance during down;naturally including newsletter;worth questioningly;hence;soon;confute reluctantly glow;enraged given a;15507.8
3;2025-03-29;geez;politely likewise;regarding apud simplistic;absent;majority;before misread neatly;typify ick in;an cinema etch;for once gratefully;gripping blah;30206.43
4;2025-03-29;ha splash tenement;including;which yum;bah;cavernous;noteworthy;glimmer pace;wherever minister when;portray noisily;for majestically intellect;4540.45
5;2025-03-29;reassemble rigidly ape;instead;suspiciously;scornful gosh;put ugh log;why actual comestible;camouflage scarcely indeed;above sticky;like;psst distinct;20564.59
6;2025-03-29;circa knowledgeably unwritten;mmm;grandson generously ugly;zowie acclaimed;passport hornet customise;until phooey vivaciously;seriously so;clean digit;woefully;hm during solution;31175.69
7;2025-03-29;cauliflower pertinent sesame;rich;though shallow drat;minority;whereas clinking unbalance;breakable;where qua worth;modulo marten ack;whereas;but;7079.44
8;2025-03-29;finally;babyish metal;everlasting;fast;through;tight till oh;farm;warped reckon once;bah;inscribe;19844.11
9;2025-03-29;attest;supposing self-confidence;versus;except gazebo meal;mortise like;fuss against;ew;obvious afterwards;below politely immediately;ack version colorfully;32697.6
10;2025-03-29;aw regarding delightfully;uh-huh which inasmuch;about sideboard quarrelsomely;following;soggy ultimately;bid whup;opposite as hassle;excluding;whereas;badly;1990.62
