id;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual;ear_total_mwmes;ear_maxima_total_mwmes;val_contribearbacia;val_contribearmaxbacia;val_contribearsubsistema;val_contribearmaxsubsistema;val_contribearsubsistemajusante;val_contribearmaxsubsistemajusante;val_contribearsin;val_contribearmaxsin
1;storyboard;mortally;2025-03-29;4601.93;14144.15;27569.21;10824.5;4184.41;20818.9;18046.65;12992.89;31450.84;9231.45;25799.96;5460.39;30895.03;10947.85;11772.29
2;puny fantastic irk;unimpressively what impact;2025-03-29;21910.46;12089.36;17871.4;11663.67;20142.24;26764.72;2351.88;12600.8;21676.97;16568.48;8291.08;11969.95;1313.54;28306;12049.11
3;powerfully vision;ape clamp;2025-03-29;21806.85;942.12;4636.9;3544.11;9146.26;11039.44;21220.69;8238.46;2691.99;32326.78;13499.75;24737.87;13867.13;29092.38;11219.62
4;popularize till;politely abaft;2025-03-29;1981.76;3484.46;21356.58;16718.83;12030.81;12025.31;31747.36;16251.55;23169.94;15292.08;10532.63;20009.34;22556.67;21584.93;18179.7
5;ditch;majestically throughout;2025-03-30;11912.73;29119;31673.05;4882.77;8932.67;9139.1;11542.48;3944.14;6709.48;11025.1;30183.96;11718.62;9388.02;31836.23;12761.16
6;aha provided;woot;2025-03-29;7193.27;22120.1;29388.14;13066.31;24025.01;29560.55;1515.99;25554.78;21554.63;28725.5;31501.05;9080.69;9252.45;28089.98;22650.37
7;although er;big;2025-03-29;19854.07;4722.07;14236.26;11683.44;32444.92;31652.81;2198.93;4362.49;21674.61;24677.67;28631.72;9317.41;25885.75;14574.9;16069.5
8;neaten bitterly;after whoa;2025-03-29;7103.36;21346.73;15481.98;31405.78;18300.32;11624.55;16148.44;31131;12897.99;31212.75;32255.94;28454.21;15406.77;18090.96;7266.56
9;apropos magnetize carouse;sesame boohoo;2025-03-29;22583.7;18425.44;11217.19;32131.41;29669.14;24367.85;9103.96;31749.92;6835.13;7891.07;22640.92;27256.01;12006.52;15762.13;8756.75
10;across;boohoo;2025-03-30;28339.55;3327.31;32189.55;19158.37;4010.34;6466.97;20056.58;22495.56;16279.62;8290.65;28162.89;32646.08;2015.12;16034.99;3228.71
