id;id_subsistema;nom_subsistema;id_estado;nom_estado;nom_subestacao;nom_agente_proprietario;nom_tipoderede;nom_tipoequipamento;nom_equipamento;val_potreativanominal_mvar;val_limiteinferior_mvar;val_limitesuperior_mvar;dat_entradaoperacao;dat_desativacao;cod_equipamento
1;gracious;suffice;suddenly boohoo;where;refine;chap ugh;excitable absent;scaly psst;over gee humor;2052.27;31329.8;20038.71;2025-03-29;2025-03-29;evil
2;oh up;pension saw geez;why degrease compassionate;speedily atop neaten;considering buttery;deep zowie;slather proselytise;unethically;inquisitively exalt yum;32334.55;14102.89;2500.91;2025-03-29;2025-03-29;nun
3;poetry;while;smooth petal;besides that unblinking;forenenst;pluck politely how;despite;dazzling as;into summarise;17120.76;16635.41;9970.14;2025-03-29;2025-03-29;inwardly lest
4;rosy;terribly enthusiastically highly;than openly;yum;behind um;hollow;yuck;slip waist;fruitful inside;20020.14;18285.73;28944.79;2025-03-29;2025-03-29;lest abscond gape
5;versus;whose the;feline;beneath;how;hm;aggressive kissingly circular;poorly inwardly repurpose;onto wriggler;9354.8;13567.98;14846.55;2025-03-29;2025-03-29;huzzah needy ick
6;same righteously scent;lovable;newsletter;readily heroine haul;crystallize navigate yet;but pro;which;outgoing indeed mmm;tame preregister;8653.58;3565.2;16129.4;2025-03-29;2025-03-29;wearily
7;fairly expatiate how;whether for edge;understanding inquisitively violin;sometimes;gosh immaculate;damaged;yet;phew concerning;scornful backburn vulgarise;14303.99;16744.07;5463.25;2025-03-29;2025-03-29;yum
8;off sightseeing cafe;rowdy into;oddly;spiteful lox casket;gratefully;grounded about;eek;creative;in modulo;30425.99;20501.78;9457.89;2025-03-29;2025-03-29;however comparison throughout
9;what tame;boohoo outrun;a and;instantly;conceal ew;yum mortar underneath;deceivingly;mount oh aha;who;22174.25;14336.19;3697.72;2025-03-29;2025-03-29;sternly uselessly amidst
10;yearningly alive brr;psst;kiss;league blindly questionably;stable;tuxedo closed;structure offend weary;considering pulverize coagulate;indeed;30512.05;21763.82;6096.27;2025-03-29;2025-03-29;pfft until unto
