id;nom_curto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
1;but irritably sonata;2025-03-29;18657.15;13315.98;21933.43
2;selfishly successfully;2025-03-29;31164.79;32088.97;15841.81
3;reproachfully;2025-03-29;26624.25;13727.93;15009.79
4;chime cod;2025-03-29;27879.59;1464.41;14875.53
5;delightfully;2025-03-29;9930.68;21075.26;23498.88
6;although;2025-03-29;17144.14;22573.05;25034.44
7;pace consequently ick;2025-03-29;15202.99;20903.12;17615.88
8;with;2025-03-29;18905.7;22183.84;14582.23
9;intent;2025-03-29;1572.54;14523.65;1635.78
10;sanity along;2025-03-29;17455.43;8362.76;1494.79
