id;dat_pdp;cod_submercado;sgl_tipousina;cod_usinapdp;nom_usinapdp;num_intdespa;val_despasup
1;meaningfully;bah zowie;private;sweet up;hunger suspiciously carelessly;25591;24304
2;yum;immaculate quarrelsome hm;unique;given plugin till;fiddle;19459;18701
3;firm;hence without woot;failing nor how;scamper so though;configuration blend supposing;11145;32217
4;ugh watery;finer fisherman;wear mid;at suspension except;aboard climb;4530;7575
5;during;militate shark substantial;pfft thyme duh;putrid;petal needy er;16572;5553
6;barring where tomorrow;rim uh-huh;progress gosh;worth hygienic;orchestrate yahoo;6403;5120
7;louse;lovingly tremendously busily;equally tray;dearly;bid tenderly;19201;15791
8;rapidly meh;notwithstanding;sunbeam forenenst before;yum er;towards voluminous;5637;17499
9;yuppify oh separate;rigidly frightfully verve;cheerfully engage;yippee sequester;easily times wherever;5373;19518
10;readily;make;woot concerned;spotless finally;deploy ha considering;12263;31808
