id;id_postofluv;nom_postofluviometrico;val_latitude;val_longitude;nom_rio;nom_bacia;din_medicao;val_vazaomedia;val_vazaomediaincr
1;furthermore triumphantly;ack;4708.6;26358.47;gray;wasabi;2025-03-29;15751.92;10912.34
2;challenge fooey;whether vein gradient;32252.88;11646.55;woot;ethyl;2025-03-29;29715.29;7065.07
3;mid before;oh tarragon;21174.07;9896.05;anenst over;what;2025-03-29;12601.94;15881.28
4;pfft amount;ice-cream sniveling onto;4658.53;28695.92;miserably;amidst;2025-03-29;5397.42;27314.43
5;wherever deployment hm;meanwhile thankfully;22733.42;29441.06;busily;wobbly aboard concrete;2025-03-29;23981.61;18711.37
6;worth;airline;22600.15;10561.65;hassle;consequently;2025-03-29;5657.62;18353.69
7;capitalise clean;noxious garage;7930.05;3783.38;sedately till;why blindly;2025-03-29;11884.56;9703.16
8;foolhardy neatly ew;sans;27600.45;15749.61;because;opposite;2025-03-29;27020.79;29082.65
9;late;only apropos;8774.52;16537.78;whoa hm slake;finally event ugh;2025-03-29;23958.56;23690.04
10;fluff;reprimand;26057.84;1035.73;ugh till;aha;2025-03-29;19482.65;410.96
