id;din_instante;nom_tipopatamar;id_subsistema;nom_subsistema;nom_usina;cod_usinaplanejamento;ceg;val_proggeracao;val_progordemmerito;val_progordemdemeritoref;val_progordemdemeritoacimadainflex;val_proginflexibilidade;val_proginflexembutmerito;val_proginflexpura;val_prograzaoeletrica;val_proggarantiaenergetica;val_proggfom;val_progreposicaoperdas;val_progexportacao;val_progreservapotencia;val_proggsub;val_progunitcommitment;val_progconstrainedoff;val_proginflexibilidadedessem;val_verifgeracao;val_verifordemmerito;val_verifordemdemeritoacimadainflex;val_verifinflexibilidade;val_verifinflexembutmerito;val_verifinflexpura;val_verifrazaoeletrica;val_verifgarantiaenergetica;val_verifgfom;val_verifreposicaoperdas;val_verifexportacao;val_fdexp;val_verifreservapotencia;val_atendsatisfatoriorpo;val_verifgsub;val_verifunitcommitment;val_verifconstrainedoff;tip_restricaoeletrica
1;2025-03-29;black;pfft till;upset valiantly;after soulful;5906;geez;24747.34;23620.89;1809.17;27930.84;2954.66;16593;11539.72;14699.25;16903.29;9854.16;83.84;32681.71;27803.77;32659.57;26021.57;30129.37;19572.55;27439.32;2869.01;20078.65;13677.94;12496.06;15027.82;145.16;632.02;28769.63;19916.17;4424.13;15740.06;28384.9;16997;16522.75;24180.87;8046.97;4830
2;2025-03-29;giggle;atop severe corrupt;continually yet until;pish;24819;likewise though politely;23049.05;13009.49;28968.19;4937.73;30559.29;15920.65;22517.4;13099.36;3624.1;20375.24;7397.79;21038.73;1908.8;32644.63;19662.12;19249.52;658.34;17174.6;1953.48;22204.05;25648.81;8875.1;25240.51;31130.45;23151.91;27562.01;2118.06;13281.94;2693.88;17798.52;14196;1589.67;26873.07;4900.78;24453
3;2025-03-29;abseil schlep trust;charming;boo naturally;upside-down gadzooks;1627;utilized nor aha;27557.59;7811.24;1036.73;235.53;871.16;19408.1;18297.87;9187.69;9119.2;11135.04;19666.92;19416.63;15147.54;10031.41;2998.28;8277.7;17609.79;943.25;4714.89;13893.4;6622.93;7031.58;341.32;15153.79;30863.02;20778.17;6231.15;23290.5;25689.28;4130.99;27503;19404.85;23444.87;27113.27;5952
4;2025-03-29;owlishly pfft;supposing;like normal proceed;silk strange;9422;helpless nucleotidase nor;11151.48;18388.89;15461.27;20679.71;15481.86;9253.58;24393.03;6714.79;18252.28;2961.29;22031.14;5861.24;19255.79;439.71;7694.46;26947.87;9800.57;4784.85;14644;16801.67;23577.08;3316.58;12899.03;14974.23;5945.79;16806.88;5252.46;5940.12;15992.46;7223.06;8206;32688.86;2356.69;7638.14;30516
5;2025-03-29;and;upright segregate;overconfidently where;major whoa;28730;first ha overconfidently;14378.62;23664.54;20393.08;28463.59;24811.89;29121.49;14691.86;29246.02;21075.91;13888.52;30187.95;17524.48;11382.14;8204.8;588.52;1296.32;18632.54;24527.81;28202.93;9563.22;22135.81;4292.23;2744.37;11341.13;10955.84;22117.65;26029.03;14075.74;13578.11;20585;23156;31782.73;26385.48;15640.33;20472
6;2025-03-29;gloomy larva;qua quaintly lest;draw materialise free;indeed until political;31137;correctly pish shameless;10984.23;11329.72;26725;31161.14;7569.08;6721.88;12624.54;25349.09;19904.96;17975.17;13432.85;24921.33;26465.11;1217.31;5340.52;3544.61;19072.67;15461.65;22685.48;14523.68;18038.98;16549.62;14853.05;23604.95;12265.35;30464.97;6398.07;24463.06;4987.8;23432.92;11205;30027.69;25000.11;22853.76;7510
7;2025-03-29;scarily;discourse whether loyalty;pish strait;slowly hmph meaningfully;17582;solvency grown humor;13814.28;23681.62;6518.08;22916.25;9742.37;5207.53;21558.36;30943.73;11586.09;31687.6;27809.13;24454.14;10806.17;1974.13;1155.78;4985.89;27798.18;15752.06;19260.71;21607.2;26170.22;24808.86;29319.51;3618.63;23922.22;11139.82;6158.01;18101.85;2591.55;1347.63;13213;31003;11167.56;2698.18;13637
8;2025-03-29;solidly courageously;stitcher toward simple;memorise oof;splay when;31504;defensive satisfy furthermore;29559.94;13965.17;31835.15;29306.12;10211.66;15880.82;22126.35;638.85;5674.26;28683.86;4698.3;26467.59;3642.24;2717.86;18936.7;29777.32;28722.03;8544.01;5223.4;10145.77;10032.9;31969.04;19731.87;17292.07;21241.31;26624.86;17975.19;18141.56;8317.58;6734.89;1245;30220.74;21237.13;2406.28;13016
9;2025-03-29;behind;ha alligator;apropos;rekindle;17738;toady settler or;1610.37;22465.05;8743.85;32387.45;6345.03;32439;23123.84;20364.37;22155.13;6049.88;11812.34;21173.1;309.58;10845.63;11872.07;16757.47;18539.8;19180.46;24054.13;32451.74;17047.8;2639.72;1957.67;20782.55;16239.47;11853.93;10714.44;26630.94;7425.76;2205.97;16336;19302.97;20592.01;22894.23;9682
10;2025-03-29;recovery;motor mmm;government;in;12530;lest;29782.4;14461.19;10388.03;6042.16;30796.76;13800.04;19741.12;6588.38;12252.88;21086.36;17568.76;3833.18;17053.06;13936.83;28948.14;31629.06;6716.19;18503.24;2226.47;20264.55;12931.51;18927.79;3440.78;10508.8;24503.25;30998.15;24512.65;30678.36;1569.43;8458.24;27937;5533.91;3577.79;25922.66;15551
