id;nom_pais;nom_agente;nom_bloco;dat_iniciovalidade;dat_fimvalidade;val_preco
1;zowie aha um;er;gleefully quirkily;2025-03-29;2025-03-29;18855.17
2;although although lest;mathematics;commonly yuck gestate;2025-03-29;2025-03-29;10659.55
3;wetly gruesome;exalted upon worst;oh;2025-03-29;2025-03-29;19891.83
4;rarely shaft;decisive;agile ample oof;2025-03-29;2025-03-29;11510.54
5;affectionate than;chasuble sense tinderbox;times lest;2025-03-29;2025-03-29;9927.69
6;yum petal;fine eek;strange normal;2025-03-29;2025-03-29;8561.28
7;brave doing pilot;among yowza why;red;2025-03-29;2025-03-29;5079.05
8;crooked iridescence navigate;along reorient oof;uh-huh;2025-03-29;2025-03-29;23756.55
9;pant;huzzah gown unfinished;psst furiously against;2025-03-29;2025-03-29;9741.17
10;to tune consistency;provided poorly blah;honestly;2025-03-29;2025-03-29;19798.63
