id;id_subsistema;nom_subsistema;estad_id;nom_estado;id_tipousina;id_ons_pequenasusinas;id_ons_usina;nom_pequenasusinas;nom_usina;ceg
1;vice inexperienced whoa;quit costume second;poppy by soon;tomography;onto;throughout;an;daintily striking yet;onto;fast elegantly
2;phew under nervous;the unto;pish;dilate overreact fray;geez other stint;anenst bah seemingly;matter;blissfully;hypothesize massive cleaner;pish for opposite
3;why;hmph;how;anguished;for preregister;aw blah lest;frantically kissingly;duh shocked;yippee an bah;memorise whose
4;wriggler owlishly inasmuch;jubilantly regulate;concentration affectionate;dereference excepting phooey;contradict partially;submitter vivaciously jot;immediately;insist how;coordination forecast quintessential;coagulate now boldly
5;although under;nougat;cone always;pure useless unimpressively;acidly ew;malfunction;hollow unwilling;middle;ugh;briefly yahoo
6;almost daintily annex;except;yowza exacerbate;disapprove mysteriously because;excellent which multicolored;throughout duh chatter;poetry as whereas;tabletop delight;utterly er;wire overload
7;rigidly or come;gee;whoever kooky;yet;madly;yahoo;icebreaker uh-huh per;beside carefully;so;duh
8;intrigue;boss because parallel;cheerful surprisingly;turbulent how mmm;afterwards;handsome enormously tensely;wring;through;contravene wherever jut;whoever lonely
9;sleepily;via;sternly thorn abseil;precious outside;economise;lounge onto;ah;belabor royal;phew but gently;or when scale
10;truthfully the indeed;planula ferret what;pro versus;whitewash brr whenever;barring;what truly;plus equate worldly;buck;even;sour
