id;cod_estacao;val_latitude;val_longitude;val_medida;dat_observada
1;extroverted around maintainer;15008.28;31811.69;13604.47;2025-03-29
2;despite;19292.7;26726.58;11549.14;2025-03-29
3;pearl roughly metallic;10189.49;12693.87;17264.13;2025-03-29
4;incidentally;7786.25;14238.1;16482.35;2025-03-29
5;the willing narrate;31755.11;32478.42;13938.92;2025-03-29
6;promptly exactly;12904.9;28271.05;20255.46;2025-03-29
7;geez;19923.99;17832.74;4052.53;2025-03-29
8;quietly;24131.38;23661.4;15256.8;2025-03-29
9;sensitize rosy;29682.4;2904.15;31406.52;2025-03-29
10;inasmuch surprise;5938.49;31530.02;11976.41;2025-03-29
