id;nom_ree;ear_data;ear_max_ree;ear_verif_ree_mwmes;ear_verif_ree_percentual
1;oof;2025-03-29;19409.78;9659.1;12318.21
2;mmm;2025-03-29;31436.79;27069.45;11979.74
3;growing reproach dependent;2025-03-29;16808.7;5296.69;15115.53
4;tiny where angrily;2025-03-29;29029.74;23779.3;16306.38
5;diligently;2025-03-30;11014.24;19351.1;7843.37
6;sympathetically boo among;2025-03-29;14212.34;13231.79;21576.85
7;condense;2025-03-29;26217.57;976.25;29681.35
8;gadzooks who;2025-03-29;5818.38;31869.41;28342.93
9;dearly finally;2025-03-29;5210.11;5176.64;23200.93
10;across ultimate;2025-03-29;23637.33;23601;11804.94
