id;id_periodicidade;din_referencia;num_desvio_perm_sobre;num_desvio_perm_sub;num_desvio_dist_sobre;num_desvio_dist_sub;num_minutos;num_violadodis;num_violadoperm;val_dfp
1;for whether decent;2025-03-29;8472;12737;26815;14376;24558;30432;16983;20392.28
2;mid;2025-03-29;22623;29420;6037;26722;2133;7138;21676;17802.63
3;along that gazebo;2025-03-29;4430;9594;9829;25318;2791;12600;20778;953.14
4;instead ouch huzzah;2025-03-29;19817;21198;12709;2497;28939;32026;5754;5642.8
5;immediately;2025-03-29;2997;5791;30944;16404;19063;3772;12362;23495.72
6;galoshes;2025-03-29;25442;2393;16048;9384;32358;2655;2325;13067.37
7;finally;2025-03-29;14824;14394;26071;22869;28205;6437;7982;31606.72
8;drat;2025-03-29;11192;13793;7680;11112;31682;8033;11792;10936.89
9;upbeat during;2025-03-29;32469;15120;1633;6688;3190;28145;6474;14183.36
10;wherever deeply strategy;2025-03-29;27000;16152;32583;17488;8488;27834;15171;14621.75
