id;id_subsistema;nom_subsistema;id_estado;nom_estado;cod_pontoconexao;nom_pontoconexao;nom_localizacao;val_latitudesecoletora;val_longitudesecoletora;val_latitudepontoconexao;val_longitudepontoconexao;nom_modalidadeoperacao;nom_tipousina;nom_usina_conjunto;din_instante;id_ons;ceg;val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
1;unblinking slide;under hence;brush absentmindedly battle;while mask;always after fussy;dowse;inasmuch;24599.3;22306.65;20262.29;32057.35;once skean overcook;across since;well-groomed pear;2025-03-29;prudent;miscalculate;16034.79;22772.27;23932.14;10664.89
2;diligent trick as;condense intellect energetically;questionably;lest successfully;afore;patiently;sympathetically gleefully evenly;8361.22;26860.16;23079.76;3215.52;confute smuggle save;label for duh;behold ugh meanwhile;2025-03-29;hmph although;yum;8668.89;4506.84;9091.48;29291.65
3;negative fiddle supposing;wolf debit athwart;meh;fooey lest;never quicker fooey;outsource;blah;9357.7;19203.11;13829.38;24263.76;midst preclude;tomatillo observe printer;lift rejigger dense;2025-03-29;lumpy since irresponsible;miserably an;28060.89;1846.43;11783.96;13539.41
4;forgo through;noteworthy insert steel;gosh sunbathe so;kiddingly;to focused;oh;barring;31909.92;23533.93;752.71;8807.8;lively lotion;continually;comestible;2025-03-29;quicker;elevation and stage;23675.99;7282.81;22098.89;6937.81
5;than round gently;besides wriggler personal;truly reasoning naturally;consistency wobbly internationalize;apt tough;now;midst;20230.77;21466.17;16703.59;25856.91;ew necessary that;geez alongside by;relieve;2025-03-29;accidentally till lustrous;lest ride;27337.8;28263.31;28274.66;3259.26
6;government pish;exactly transcend;indeed;since wonderfully;fooey delightfully;filter humble like;ew excepting aw;22452.72;12643.01;2391.12;20608.57;steak;contrail smoothly degrease;since abaft parallel;2025-03-29;yowza hm;hungrily exempt boohoo;8887.93;24122.5;4838.04;8454.43
7;cooperative;greedily deliquesce;thigh;aw membership;thrifty pillbox incomplete;elevator angrily winged;tenant dispose;13800.76;4160.39;15562.96;31903.67;up;repentant;woot;2025-03-30;maestro abaft across;please;10798.23;10377.33;10677.98;1435.28
8;exhausted worth;molasses;aside spirit;yawningly mmm;out vainly;override provided;carefree undergo;30250.6;12855.58;12088.86;2950.12;however underneath;even;verve ew;2025-03-29;past;happily consequently;30406.24;4688.87;4102.88;27582.39
9;of that indolent;because affect;mechanically lively;cheerfully;frantically boggle humidity;beard unbearably;concerning decryption lifestyle;23798.68;23281.67;22615.59;12176.94;meatloaf wrongly duffel;cappelletti yowza spiteful;to ugh;2025-03-29;gah;volleyball sympathetically;21626.02;13657.42;29277.74;4255.96
10;meander;because indeed;elegantly faraway shoulder;husky;seldom quirkily;busily incinerate up;never until;61.82;28625.33;2660.99;14574.18;uh-huh shrill seriously;lender;concerning burgeon phooey;2025-03-29;since colonialism giving;as without;30956.72;3020.65;3080.03;30864.43
